image_path,label
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\19.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\20.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\21.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\22.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\23.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro03\24.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\0.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\1.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\5.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\6.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\9.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\13.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\14.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\28.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\29.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\30.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\31.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\32.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\33.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\0.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\1.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\2.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\3.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\4.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\5.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\6.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\7.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\8.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\9.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\10.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\11.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\12.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\13.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\14.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\15.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\16.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\17.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\18.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\19.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\20.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\21.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\22.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\23.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\24.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\25.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\26.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\27.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\28.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\31.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro04\32.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\8.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\9.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\11.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\12.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\14.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\15.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\16.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\17.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\18.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\19.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\20.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\21.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\22.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\23.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\24.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\25.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\26.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\28.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\29.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\30.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\0.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\1.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\2.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\3.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\4.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\5.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\6.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\7.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\8.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\9.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\10.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\11.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\12.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\13.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\14.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\15.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\16.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\17.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\19.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\20.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\22.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\23.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\24.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\25.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\26.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\27.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\28.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\29.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\30.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\31.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\34.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro05\35.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\2.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\3.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\4.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\5.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\6.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\7.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\8.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\9.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\10.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\11.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\12.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\13.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\14.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\15.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\16.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\18.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\19.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\20.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\21.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\22.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\23.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\24.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\25.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\26.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\27.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\28.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\0.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\1.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\2.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\3.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\4.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\5.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\6.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\7.jpg,2
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\8.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\9.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\10.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\11.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\12.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\13.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\14.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\15.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro06\16.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\0.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\2.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\3.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\4.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\5.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\9.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\10.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\12.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\13.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\16.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\0.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\1.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\2.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\3.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\4.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\5.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\6.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\7.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\8.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\9.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\12.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\13.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\14.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\15.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\17.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\18.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_impro07\19.jpg,1
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\5.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\15.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\34.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\35.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\37.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\38.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\41.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\42.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\0.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\1.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\2.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\3.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\4.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\7.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\10.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\12.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\14.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\15.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\16.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\17.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\19.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\23.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\24.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\25.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\34.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\39.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_1\40.jpg,3
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\3.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\4.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\5.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\6.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\7.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\8.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\9.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\10.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\11.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\12.jpg,0
C:\EPICS26\iemocap_cnn\src\visual\..\..\features\frames\Ses01F_script01_2\13.jpg,0
